
"Meesho Supplier Panel"
"Supplier ID","2695279"
"Supplier Registered Name","PRINCE VIJAYBHAI BHANDERI"
"Supplier Email ID","wonnder.crate@gmail.com"
"Download Date & Time Stamp","1754228863000"

"S No","Product Name","SKU","Variation","Meesho PID","Category","Qty","Order Number","Suborder Number","Dispatch Date","Return Created Date","Type of Return","Sub Type","Expected Delivery Date","Courier Partner","AWB Number","Status","Attempt","Tracking Link","Return Price Type","Return Reason","Detailed Return Reason"
"1","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","177020165681366144","177020165681366144_1","2025-07-17","2025-08-03","Courier Return (RTO)","forward_RTO","NA","PocketShip","VL0081641014798","Returned","null","https://www.valmo.in/track/VL0081641014798",,"NA","NA"
"2","Frosty Plastic Food Grade Fridge Square Water Bottle Gift Set(6 pieces, 1L,Assorted)","6Frost bcup 03","Free Size",,"Water Bottles","1","180578929869878272","180578929869878272_1","2025-07-28","2025-08-03","Customer Return","FIRST_RET","2025-08-21","Valmo","VLR081048708154","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR081048708154&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"3","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179607228797449152","179607228797449152_1","2025-07-24","2025-08-03","Customer Return","FIRST_RET","2025-08-13","Delhivery","149077919391033","Picked Up","NA","https://track.delhivery.com/p/149077919391033","Meesho Price","Received wrong product (different color / size / product)","QC failed redressal"
"4","Frosty Plastic Food Grade Fridge Square Water Bottle Gift Set(6 pieces, 1L,Assorted)","6Frost bcup 03","Free Size",,"Water Bottles","1","180357530072849728","180357530072849728_1","2025-07-26","2025-08-03","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1928279810FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1928279810FPL",,"NA","NA"
"5","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","180341838757283200","180341838757283200_1","2025-07-26","2025-08-03","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815940888002","Returned","null","https://www.delhivery.com/track/package/1490815940888002",,"NA","NA"
"6","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","180278997804118848","180278997804118848_1","2025-07-26","2025-08-03","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815940884826","Returned","null","https://www.delhivery.com/track/package/1490815940884826",,"NA","NA"
"7","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 00008181101a","Free Size",,"Jars & Containers","1","181353954227254080","181353954227254080_1","2025-07-29","2025-08-03","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490816064779952","Returned","null","https://www.delhivery.com/track/package/1490816064779952",,"NA","NA"
"8","Stylish 24 Pcs Kitchen Storage Container Set | Airtight, Transparent Jars for Masala, Grains, Dry Fruits & More","24 Sil 0000514101a","Free Size",,"Jars & Containers","1","180994684729979904","180994684729979904_1","2025-07-28","2025-08-03","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490816002775886","Returned","null","https://www.delhivery.com/track/package/1490816002775886",,"NA","NA"
"9","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_3","Free Size",,"Earrings & Studs","1","180680977859759808","180680977859759808_1","2025-07-28","2025-08-03","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490816002777706","Returned","null","https://www.delhivery.com/track/package/1490816002777706",,"NA","NA"
"10","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","180583847431500608","180583847431500608_1","2025-07-28","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1930732952FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1930732952FPL",,"NA","NA"
